PlateID,Row,Column,Organism,Species,id,Tissue,Comments,QC,pop,Region,Subregion,lat,lon
1,A,6,Pocillopora,Meandrina,P ver 246,unknown,none,Pass,Moore,Coral Sea,Coral Sea,15.89218,149.15359
1,B,6,Pocillopora,Meandrina,P ver 247,unknown,none,Pass,Moore,Coral Sea,Coral Sea,15.89218,149.15359
1,C,6,Pocillopora,Meandrina,P ver 248,unknown,none,Downshift,Moore,Coral Sea,Coral Sea,15.89218,149.15359
1,D,6,Pocillopora,Meandrina,P ver 249,unknown,none,Pass,Moore,Coral Sea,Coral Sea,15.89218,149.15359
1,E,6,Pocillopora,Meandrina,P ver 251,unknown,none,Pass,Moore,Coral Sea,Coral Sea,15.89218,149.15359
1,F,6,Pocillopora,Meandrina,P ver 252,unknown,none,Pass,Moore,Coral Sea,Coral Sea,15.89218,149.15359
1,G,6,Pocillopora,Meandrina,P ver 253,unknown,none,Fail,Moore,Coral Sea,Coral Sea,15.89218,149.15359
1,H,6,Pocillopora,Meandrina,P ver 254,unknown,none,Downshift,Moore,Coral Sea,Coral Sea,15.89218,149.15359
1,A,7,Pocillopora,Meandrina,P ver 255,unknown,none,Pass,Moore,Coral Sea,Coral Sea,15.89218,149.15359
1,B,7,Pocillopora,Meandrina,P ver 167,unknown,none,Pass,Chilcott,Coral Sea,Coral Sea,16.9315,149.98988
1,C,7,Pocillopora,Meandrina,P ver 168,unknown,none,Downshift,Chilcott,Coral Sea,Coral Sea,16.9315,149.98988
1,D,7,Pocillopora,Meandrina,P ver 169,unknown,none,Pass,Chilcott,Coral Sea,Coral Sea,16.9315,149.98988
1,E,7,Pocillopora,Meandrina,P ver 170,unknown,none,Pass,Chilcott,Coral Sea,Coral Sea,16.9315,149.98988
1,F,7,Pocillopora,Meandrina,P ver 171,unknown,none,Downshift,Chilcott,Coral Sea,Coral Sea,16.9315,149.98988
1,G,7,Pocillopora,Meandrina,P ver 221,unknown,none,Pass,Willis,Coral Sea,Coral Sea,16.28728,149.9593
1,H,7,Pocillopora,Meandrina,P ver 232,unknown,none,Pass,Willis,Coral Sea,Coral Sea,16.28728,149.9593
1,A,8,Pocillopora,Meandrina,P ver 233,unknown,none,Pass,Willis,Coral Sea,Coral Sea,16.28728,149.9593
1,B,8,Pocillopora,Meandrina,P ver 234,unknown,none,Pass,Willis,Coral Sea,Coral Sea,16.28728,149.9593
2,A,1,Pocillopora,Meandrina,P ver 015,unknown,none,Pass,Saumarez,Coral Sea,Coral Sea,21.88607,153.64764
2,B,1,Pocillopora,Meandrina,P ver 016,unknown,none,Fail,Saumarez,Coral Sea,Coral Sea,21.88607,153.64764
2,C,1,Pocillopora,Meandrina,P ver 017,unknown,none,Fail,Saumarez,Coral Sea,Coral Sea,21.88607,153.64764
