PlateID,Row,Column,Organism,Species,id,Tissue,Comments,pop,Region,lat,lon
1,H,5,Pocillopora,Verrucosa,P ver 220,unknown,none,Willis,Coral Sea,16.28728,149.9593
1,A,6,Pocillopora,Verrucosa,P ver 222,unknown,none,Willis,Coral Sea,16.28728,149.9593
1,B,6,Pocillopora,Verrucosa,P ver 223,unknown,none,Willis,Coral Sea,16.28728,149.9593
1,C,6,Pocillopora,Verrucosa,P ver 224,unknown,none,Willis,Coral Sea,16.28728,149.9593
1,D,6,Pocillopora,Verrucosa,P ver 225,unknown,none,Willis,Coral Sea,16.28728,149.9593
1,E,6,Pocillopora,Verrucosa,P ver 226,unknown,none,Willis,Coral Sea,16.28728,149.9593
1,F,6,Pocillopora,Verrucosa,P ver 227,unknown,none,Willis,Coral Sea,16.28728,149.9593
1,G,6,Pocillopora,Verrucosa,P ver 295,unknown,none,Holmes,Coral Sea,16.5045,147.99681
1,H,6,Pocillopora,Verrucosa,P ver 296,unknown,none,Holmes,Coral Sea,16.5045,147.99681
1,A,7,Pocillopora,Verrucosa,P ver 297,unknown,none,Holmes,Coral Sea,16.5045,147.99681
1,B,7,Pocillopora,Verrucosa,P ver 298,unknown,none,Holmes,Coral Sea,16.5045,147.99681
1,C,7,Pocillopora,Verrucosa,P ver 299,unknown,none,Holmes,Coral Sea,16.5045,147.99681
1,D,7,Pocillopora,Verrucosa,P ver 300,unknown,none,Holmes,Coral Sea,16.5045,147.99681
1,E,7,Pocillopora,Verrucosa,P ver 301,unknown,none,Holmes,Coral Sea,16.5045,147.99681
1,F,7,Pocillopora,Verrucosa,P ver 302,unknown,none,Holmes,Coral Sea,16.5045,147.99681
2,A,1,Pocillopora,Verrucosa,P ver 040,unknown,none,Wreck,Coral Sea,22.19267,155.33405
2,B,1,Pocillopora,Verrucosa,P ver 045,unknown,none,Wreck,Coral Sea,22.19267,155.33405
2,C,1,Pocillopora,Verrucosa,P ver 046,unknown,none,Wreck,Coral Sea,22.19267,155.33405
2,D,1,Pocillopora,Verrucosa,P ver 123,unknown,none,Flinders,Coral Sea,17.71357,148.43713
2,E,1,Pocillopora,Verrucosa,P ver 124,unknown,none,Flinders,Coral Sea,17.71357,148.43713
2,F,1,Pocillopora,Verrucosa,P ver 125,unknown,none,Flinders,Coral Sea,17.71357,148.43713
2,G,1,Pocillopora,Verrucosa,P ver 126,unknown,none,Flinders,Coral Sea,17.71357,148.43713
2,H,1,Pocillopora,Verrucosa,P ver 127,unknown,none,Flinders,Coral Sea,17.71357,148.43713
2,A,2,Pocillopora,Verrucosa,P ver 128,unknown,none,Flinders,Coral Sea,17.71357,148.43713
2,B,2,Pocillopora,Verrucosa,P ver 129,unknown,none,Flinders,Coral Sea,17.71357,148.43713
2,C,2,Pocillopora,Verrucosa,P ver 130,unknown,none,Flinders,Coral Sea,17.71357,148.43713
2,D,2,Pocillopora,Verrucosa,P ver 132,unknown,none,Flinders,Coral Sea,17.71357,148.43713
2,E,2,Pocillopora,Verrucosa,P ver 149,unknown,none,Herald,Coral Sea,16.94348,149.18565
2,F,2,Pocillopora,Verrucosa,P ver 150,unknown,none,Herald,Coral Sea,16.94348,149.18565
2,G,2,Pocillopora,Verrucosa,P ver 151,unknown,none,Herald,Coral Sea,16.94348,149.18565
2,H,2,Pocillopora,Verrucosa,P ver 153,unknown,none,Herald,Coral Sea,16.94348,149.18565
2,A,3,Pocillopora,Verrucosa,P ver 156,unknown,none,Herald,Coral Sea,16.94348,149.18565
2,B,3,Pocillopora,Verrucosa,P ver 157,unknown,none,Herald,Coral Sea,16.94348,149.18565
2,C,3,Pocillopora,Verrucosa,P ver 192,unknown,none,Lihou,Coral Sea,17.59707,151.48956
2,D,3,Pocillopora,Verrucosa,P ver 193,unknown,none,Lihou,Coral Sea,17.59707,151.48956
2,E,3,Pocillopora,Verrucosa,P ver 194,unknown,none,Lihou,Coral Sea,17.59707,151.48956
2,F,3,Pocillopora,Verrucosa,P ver 195,unknown,none,Lihou,Coral Sea,17.59707,151.48956
2,G,3,Pocillopora,Verrucosa,P ver 196,unknown,none,Lihou,Coral Sea,17.59707,151.48956
2,H,3,Pocillopora,Verrucosa,P ver 199,unknown,none,Lihou,Coral Sea,17.59707,151.48956
2,A,4,Pocillopora,Verrucosa,P ver 269,unknown,none,Moore,Coral Sea,15.89218,149.15359
2,B,4,Pocillopora,Verrucosa,P ver 270,unknown,none,Moore,Coral Sea,15.89218,149.15359
2,C,4,Pocillopora,Verrucosa,P ver 274,unknown,none,Moore,Coral Sea,15.89218,149.15359
2,D,4,Pocillopora,Verrucosa,P ver 278,unknown,none,Moore,Coral Sea,15.89218,149.15359
2,E,4,Pocillopora,Verrucosa,P ver 279,unknown,none,Moore,Coral Sea,15.89218,149.15359
